,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
monthly_cash_advance,73.63657789727927,49.727489883386575,11.306158850952368,178.7697826327476,14.166963655321318,23.602575835278856,188.59722212458666,51.09436242867282,113.28366263572225,12.506968467009772,23.918760018983168,34.006023942800745,291.7061109368136,36.856123385569546,311.21752723435577,4.060374127514436,112.19759989321997,24.51236711650717,39.42235546009416,39.606308091814704,307.47657840124276,24.655665927740475,9.612764457981147,106.67516486083608,3.8725349141294547,123.47593320197106,34.631317622178166,318.52809502074393,20.927971529686683,123.47536414752628,10.009440134797734,3.69103188663788,112.10597259028782,42.92405060537059,29.999330340556345,311.1950713495607,16.133298909217707,122.88303558128715,9.873070190790163,3.3170968354083104,94.57586112903003,38.090238591913,233.79183207735832
monthly_usage,0.38398770333077714,0.3429082733037135,0.24190653461853648,0.6159881845581637,0.23943196118243937,0.31315293645685766,0.6199900897556845,0.33486358760825713,0.5412612580082621,0.2330286273841137,0.34826687468618817,0.31293379598550025,0.6588943477545728,0.285867993712876,0.645906426907732,0.045855045881710015,0.5392296490475154,0.32070768113874726,0.6398445223629325,0.6444987373871018,0.6411655862503308,0.32251061807143905,0.16610156873080117,0.5373008136890003,0.04416004271575127,0.5731476279584532,0.44664783616666137,0.6396979195423897,0.031614392219721156,0.5694287383499227,0.168567470957616,0.056077213540639305,0.5949537174387755,0.6738187590149919,0.44690884532228614,0.6464471642998418,0.028479172666362598,0.5658674469985678,0.16779204947323484,0.05592994623962149,0.6051167963067771,0.6788695960725716,0.47790749496351487
purchase_type_installments,0.25251396648044694,0.04645622394282311,0.4628901734104046,0.06109979633401222,0.7547238372093024,0.0,0.05684853109500191,0.02262142381902861,0.008807985907222548,0.7407809110629068,0.0,0.016985138004246284,0.14853195164075994,0.010309278350515464,0.1102514506769826,0.7990580847723705,0.004191616766467066,0.0,0.44011756061719326,0.4563401670463174,0.10231660231660232,0.0,0.006910167818361303,0.0031113876789047915,0.8271537622682661,0.0502092050209205,0.0,0.10359408033826638,0.25435897435897437,0.047516198704103674,0.004930966469428008,0.8285348688419706,0.004005340453938585,0.48469809760132343,0.0,0.10804597701149425,0.26517571884984026,0.04329004329004329,0.004970178926441352,0.8273195876288659,0.004559270516717325,0.48744588744588746,0.09535452322738386
purchase_type_none,0.22815642458100557,0.0,0.027976878612716763,0.6520706042090971,0.0,0.07569913211186113,0.7191911484166349,0.0,0.9700528479154433,0.0,0.0,0.0,0.33678756476683935,0.0,0.38781431334622823,0.0,0.9826347305389221,0.0,0.0,0.0,0.4420849420849421,0.0,0.0,0.985687616677038,0.0,0.0,0.0,0.4365750528541226,0.1641025641025641,0.0,0.0,0.0,0.9806408544726302,0.0,0.0,0.435632183908046,0.12779552715654952,0.0,0.0,0.0,0.9802431610942249,0.0,0.6185819070904646
purchase_type_one_off,0.2093854748603352,0.09648600357355569,0.2714450867052023,0.1826205023761032,0.0,0.7169720347155255,0.11369706219000382,0.059214903526280775,0.0,0.0,0.7921465968586388,0.059447983014861996,0.2392055267702936,0.06582077716098335,0.2620889748549323,0.0,0.0,0.8873321657910099,0.0,0.0,0.26158301158301156,0.9009009009009009,0.07305034550839092,0.0,0.0,0.060669456066945605,0.8978159126365055,0.2547568710359408,0.3958974358974359,0.04967602591792657,0.07199211045364892,0.0,0.0,0.0,0.8904109589041096,0.25517241379310346,0.4142705005324814,0.049783549783549784,0.06958250497017893,0.0,0.0,0.0,0.15892420537897312
cluster_3,1.1415642458100559,0.0,1.0,2.0,0.9803779069767442,1.0998071359691417,1.9954215948111407,0.0053226879574184965,1.9260129183793306,0.9772234273318872,1.1104712041884817,0.006369426751592357,1.8169257340241796,0.0023790642347343376,1.8655705996131529,0.9843014128728415,1.9275449101796407,1.115586690017513,0.9360764144011756,0.9946848899012908,1.9691119691119692,1.1303303303303303,0.06416584402764067,1.924704418170504,0.9940021810250818,0.008368200836820083,1.1848673946957877,1.9661733615221988,1.0676923076923077,0.004319654427645789,0.05917159763313609,0.9910428662827895,1.985981308411215,1.0016542597187759,1.1659951651893634,1.9632183908045977,1.0468583599574015,0.0,0.05964214711729622,0.990979381443299,1.9840425531914894,0.987012987012987,1.784841075794621
cluster_4,1.3212290502793296,2.7254318046456225,0.40069364161849713,1.8723693143245077,0.0,1.0,2.0,3.0,1.9036993540810334,0.027838033261026754,1.0324607329842932,2.9823071479122434,2.003454231433506,2.9944488501189532,2.0493230174081236,0.041339612768184195,1.904191616766467,1.0280210157618213,0.668626010286554,0.5641609719058466,2.000965250965251,1.024024024024024,2.7413622902270482,1.9004355942750466,0.027808069792802616,2.9748953974895396,1.0686427457098284,2.007399577167019,0.7487179487179487,2.9956803455723544,2.755424063116371,0.0025591810620601407,1.9699599465954607,0.5707196029776674,1.0636583400483481,2.0091954022988507,0.7220447284345048,2.997835497835498,2.7594433399602387,0.002577319587628866,1.965045592705167,0.5766233766233766,1.6185819070904646
cluster_5,1.7270391061452515,2.9118522930315662,1.3290173410404624,1.6361167684996605,1.0476017441860466,1.832208293153327,1.5944296070202213,3.057218895542249,0.0,1.0,2.0,3.0,4.0,3.007930214115781,3.9497098646034816,1.0245944531658817,0.009580838323353293,2.0064214827787508,1.5936811168258633,1.5216400911161732,3.7258687258687258,2.0066066066066064,2.852912142152024,0.002489110143123833,1.009814612868048,3.1506276150627617,2.062402496099844,3.873150105708245,1.3405128205128205,3.1511879049676024,2.86094674556213,1.0,0.029372496662216287,1.5508684863523574,2.062852538275584,3.9080459770114944,1.3961661341853036,3.1493506493506493,2.862823061630219,1.0,0.03343465045592705,1.5558441558441558,1.119804400977995
cluster_6,2.628268156424581,0.98868374032162,3.3211560693641617,2.5454854039375423,2.982921511627907,3.935390549662488,2.3681800839374283,0.6287425149700598,3.0123311802701114,2.9663774403470717,4.069109947643979,0.5463552724699221,1.4196891191709844,0.0,1.0,2.0,3.0,4.0,5.0,4.911921032649962,1.1283783783783783,3.9891891891891893,0.4906219151036525,3.0,2.0032715376226826,0.5251046025104602,3.932917316692668,1.0422832980972516,3.128205128205128,0.48596112311015116,0.5167652859960552,2.107485604606526,2.9893190921228303,4.899917287014061,3.93795326349718,1.0275862068965518,3.1288604898828543,0.4523809523809524,0.4990059642147117,2.1198453608247423,2.9893617021276597,4.911688311688311,2.924205378973105
cluster_7,2.890614525139665,3.5038713519952354,2.8823121387283237,2.5532926001357774,3.3074127906976742,2.071841851494696,2.631056848531095,3.709913506320692,3.813270698766882,3.341648590021692,1.8575916230366492,3.651096956829441,1.2322970639032815,3.908009516256939,1.263056092843327,4.877551020408164,3.884431137724551,2.0140105078809105,0.2784717119764879,0.0,1.0,2.0,3.0,4.0,5.0,6.0,1.9329173166926676,1.0190274841437632,3.3764102564102565,6.0,2.965483234714004,4.769033909149072,3.890520694259012,0.05789909015715467,1.9218372280419016,1.0229885057471264,3.356762513312034,5.987012987012987,2.967196819085487,4.751288659793815,3.871580547112462,0.06753246753246753,2.801955990220049
cluster_8,3.7549720670391062,3.8326384752829066,3.7188439306358383,3.7637474541751526,5.269258720930233,1.3187078109932497,4.042731781762686,3.842315369261477,5.547856723429242,5.225234996384671,1.1345549738219896,3.878273177636235,1.7780656303972366,3.6819984139571766,1.2050290135396517,4.454212454212454,5.5562874251497005,0.6298890834792761,6.501102130786187,6.625664388762338,1.277992277992278,0.5771771771771772,3.964461994076999,5.591163658991911,4.452562704471101,2.989539748953975,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.040290088638195005,1.0160919540229885,2.0266240681576146,3.0064935064935066,4.0,5.00451030927835,5.98936170212766,6.9818181818181815,4.019559902200489
cluster_9,3.9297206703910614,3.8338296605122095,3.786820809248555,4.194161575016972,5.285247093023256,1.5366441658630665,4.443723769553605,3.8536260811709915,5.945977686435702,5.241503976861894,1.3130890052356021,3.889596602972399,2.196027633851468,3.6796193497224423,1.6808510638297873,4.468864468864469,5.958083832335329,0.843549328663164,6.508449669360764,6.617312072892939,1.8117760617760619,0.7987987987987988,3.96248766041461,5.977598008711886,4.466194111232279,3.00836820083682,0.24960998439937598,1.5845665961945032,2.37025641025641,3.021598272138229,3.9940828402366866,4.998080614203455,6.246995994659546,6.966087675765095,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
